Player Name,Position,Team,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Saved,Saves,Saves per 90
Jakub Stolarczyk,GK,Leicester,16,1.6,14.83,1.48,0,28,2.8
Danny Ward,GK,Leicester,6,4,3.35,2.23,0,4,2.67
Alisson Ramses Becker,GK,Liverpool,29,1.04,27.1,0.97,0,78,2.8
Caoimhin Kelleher,GK,Liverpool,12,1.2,11.09,1.11,1,27,2.7
Vítezslav Jaros,GK,Liverpool,0,0,0.14,1.15,0,1,8.18
Harvey Davies,GK,Liverpool,0,0,0,0,0,0,0
Scott Carson,GK,Man City,0,0,0,0,0,0,0
Ederson Santana de Moraes,GK,Man City,26,1.01,29.5,1.14,0,54,2.09
Stefan Ortega Moreno,GK,Man City,18,1.47,19.12,1.57,0,33,2.7
Spike Brits,GK,Man City,0,0,0,0,0,0,0
Altay Bayindir,GK,Man Utd,10,2.5,6.93,1.73,0,8,2
Tom Heaton,GK,Man Utd,0,0,0,0,0,0,0
André Onana,GK,Man Utd,44,1.29,47.79,1.41,1,90,2.65
Elyh Harrison,GK,Man Utd,0,0,0,0,0,0,0
Hubert Graczyk,GK,Man Utd,0,0,0,0,0,0,0
Dermot Mee,GK,Man Utd,0,0,0,0,0,0,0
Martin Dúbravka,GK,Newcastle,12,1.2,11.19,1.12,0,29,2.9
Odysseas Vlachodimos,GK,Newcastle,0,0,0,0,0,0,0
Nick Pope,GK,Newcastle,35,1.25,34.94,1.25,1,88,3.14
John Ruddy,GK,Newcastle,0,0,0,0,0,0,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0,0,0,0,0,0,0
Matz Sels,GK,Nott'm Forest,46,1.21,50.17,1.32,0,120,3.16
Wayne Hennessey,GK,Nott'm Forest,0,0,0,0,0,0,0
Aaron Ramsdale,GK,Southampton,66,2.2,66.34,2.21,2,125,4.17
Gavin Bazunu,GK,Southampton,0,0,0,0,0,0,0
Mateusz Lis,GK,Southampton,0,0,0,0,0,0,0
Joe Lumley,GK,Southampton,7,2.33,9.4,3.13,0,13,4.33
Alex McCarthy,GK,Southampton,13,2.6,11.22,2.24,0,24,4.8
Brandon Austin,GK,Spurs,2,2,2.53,2.53,0,2,2
Fraser Forster,GK,Spurs,15,2.14,14.8,2.11,0,29,4.14
Guglielmo Vicario,GK,Spurs,37,1.54,33.6,1.4,0,68,2.83
Alfie Whiteman,GK,Spurs,0,0,0,0,0,0,0
Antonín Kinsky,GK,Spurs,11,1.83,11.8,1.97,0,24,4
Alphonse Areola,GK,West Ham,41,1.63,37.78,1.51,0,82,3.27
?ukasz Fabia?ski,GK,West Ham,21,1.63,22.78,1.77,0,50,3.88
Wes Foderingham,GK,West Ham,0,0,0,0,0,0,0
Sam Johnstone,GK,Wolves,17,2.43,12.98,1.85,0,23,3.29
Daniel Bentley,GK,Wolves,4,2,3.01,1.5,0,8,4
José Malheiro de Sá,GK,Wolves,48,1.66,42.22,1.46,2,71,2.45
Tom King,GK,Wolves,0,0,0.14,12.6,0,0,0
